Code,Name,Close,Daily_Chg%,Daily_Amount_B,Volume,Sector,Industry,Vol_Increase,RVOL,Weekly_Chg%,Monthly_Chg%
6142.TW,友勁,9.2,1.8826135105204878,0.040260672,437616.0,一般,一般,False,0,0,0
6152.TW,百一,11.4,9.09090909090909,0.291029346,2552889.0,一般,一般,False,0,0,0
6153.TW,嘉聯益,16.05,1.9047619047619047,1.1149997595,6947039.0,一般,一般,False,0,0,0
6155.TW,鈞寶,47.8,-2.9441624365482233,3.6603332779999995,7657601.0,一般,一般,False,0,0,0
6164.TW,華興,12.6,0.3984063745019921,0.108117702,858077.0,一般,一般,False,0,0,0
6165.TW,浪凡,49.3,-0.40404040404040403,0.239196205,485185.0,一般,一般,False,0,0,0
6166.TW,凌華,67.3,1.8154311649016641,1.012039902,1503774.0,一般,一般,False,0,0,0
6168.TW,宏齊,20.8,4.0,0.24190254400000002,1162993.0,一般,一般,False,0,0,0
6176.TW,瑞儀,124.0,1.639344262295082,4.78359884,3857741.0,一般,一般,False,0,0,0
6177.TW,達麗,53.5,1.9047619047619049,0.91156938,1703868.0,一般,一般,False,0,0,0
6183.TW,關貿,95.1,0.10526315789473684,0.026179128,27528.0,一般,一般,False,0,0,0
6184.TW,大豐電,47.2,-0.8403361344537815,0.06477256,137230.0,一般,一般,False,0,0,0
6189.TW,豐藝,44.6,0.7909604519774011,0.30350077,680495.0,一般,一般,False,0,0,0
6191.TW,精成科,111.0,1.834862385321101,9.63468678,8679898.0,一般,一般,False,0,0,0
6192.TW,巨路,111.0,0.0,0.35651646,321186.0,一般,一般,False,0,0,0
6196.TW,帆宣,304.5,2.871621621621622,18.631797765,6118817.0,一般,一般,False,0,0,0
6197.TW,佳必琪,150.0,0.0,5.8246905,3883127.0,一般,一般,False,0,0,0
6201.TW,亞弘電,54.8,0.0,0.014171827999999997,25861.0,一般,一般,False,0,0,0
6202.TW,盛群,38.65,3.6193029490616624,0.3917853875,1013675.0,一般,一般,False,0,0,0
6205.TW,詮欣,58.9,-1.669449081803005,0.376641351,639459.0,一般,一般,False,0,0,0
6206.TW,飛捷,91.0,0.44150110375275947,0.7983794,877340.0,一般,一般,False,0,0,0
6209.TW,今國光,61.7,-3.5937499999999996,5.662621156,9177668.0,一般,一般,False,0,0,0
6213.TW,聯茂,113.5,-3.8135593220338984,13.23522138,11660988.0,一般,一般,False,0,0,0
6214.TW,精誠,115.5,0.0,0.67323564,582888.0,一般,一般,False,0,0,0
6215.TW,和椿,106.5,-3.1818181818181817,2.60666205,2447570.0,一般,一般,False,0,0,0
6216.TW,居易,26.5,0.37878787878787884,0.02326753,87802.0,一般,一般,False,0,0,0
6224.TW,聚鼎,44.2,-1.339285714285714,0.07698711800000001,174179.0,一般,一般,False,0,0,0
6225.TW,天瀚,0.0,0.0,0.0,318.0,一般,一般,False,0,0,0
6226.TW,光鼎,7.56,3.988995873452544,0.0627622884,830189.0,一般,一般,False,0,0,0
6230.TW,尼得科超眾,114.0,-1.7241379310344827,0.0695571,61015.0,一般,一般,False,0,0,0
6235.TW,華孚,62.7,0.6420545746388443,0.458033532,730516.0,一般,一般,False,0,0,0
6239.TW,力成,205.5,0.7352941176470588,56.76380184,27622288.0,一般,一般,False,0,0,0
6243.TW,迅杰,35.6,-0.697350069735007,0.134209152,376992.0,一般,一般,False,0,0,0
6257.TW,矽格,116.5,0.43103448275862066,13.607490085,11680249.0,一般,一般,False,0,0,0
6269.TW,台郡,58.4,3.180212014134275,1.043452656,1786734.0,一般,一般,False,0,0,0
6271.TW,同欣電,129.5,-0.7662835249042145,2.67727005,2067390.0,一般,一般,False,0,0,0
6272.TW,驊陞,43.8,-1.1286681715575622,0.27433254,626330.0,一般,一般,False,0,0,0
6277.TW,宏正,60.1,0.333889816360601,0.055403786000000003,92186.0,一般,一般,False,0,0,0
6278.TW,台表科,96.7,0.8342022940563086,1.9162971309999999,1981693.0,一般,一般,False,0,0,0
6281.TW,全國電,62.2,-0.3205128205128205,0.047980458,77139.0,一般,一般,False,0,0,0
6282.TW,康舒,43.3,0.0,13.345467453,30820941.0,一般,一般,False,0,0,0
6283.TW,淳安,25.6,1.9920318725099602,0.069921792,273132.0,一般,一般,False,0,0,0
6285.TW,啟碁,105.5,-1.8604651162790697,10.54868125,9998750.0,一般,一般,False,0,0,0
6405.TW,悅城,30.85,1.1475409836065573,0.271876114,881284.0,一般,一般,False,0,0,0
6409.TW,旭隼,1005.0,-1.4705882352941175,11.6931951,1163502.0,不斷電系統,不斷電系統,False,0,0,0
6412.TW,群電,84.5,0.7151370679380215,1.87846711,2223038.0,一般,一般,False,0,0,0
6414.TW,樺漢,287.5,1.5901060070671376,2.90158225,1009246.0,一般,一般,False,0,0,0
6415.TW,矽力*-KY,227.0,10.0,45.62411937,20098731.0,一般,一般,False,0,0,0
6416.TW,瑞祺電通,86.8,1.0477299185098954,0.09887388,113910.0,一般,一般,False,0,0,0
