Code,Name,Close,Volume,Daily_Amount_B,Daily_Chg%,Vol_Increase,Sector,Industry,RVOL,Weekly_Chg%,Monthly_Chg%
2371.TW,大同,31.0,13364293.0,4.10662406,1.3071895424836601,False,一般,一般,0,0,0
2373.TW,震旦行,56.4,20335.0,0.01147119,-0.35335689045936397,False,一般,一般,0,0,0
2374.TW,佳能,79.3,6972054.0,5.57785626,-0.3768844221105528,False,一般,一般,0,0,0
2375.TW,凱美,93.3,3604070.0,3.42100533,-1.6859852476290835,False,一般,一般,0,0,0
2376.TW,技嘉,245.0,3589784.0,8.78659183,0.0,False,一般,一般,0,0,0
2377.TW,微星,96.3,7296572.0,7.01505032,0.5219206680584552,True,一般,一般,0,0,0
2379.TW,瑞昱,530.0,2930914.0,15.42823734,3.515625,True,一般,一般,0,0,0
2380.TW,虹光,5.03,384877.0,0.01935912,9.825327510917031,True,一般,一般,0,0,0
2382.TW,廣達,282.0,19165223.0,54.08003066,0.0,False,一般,一般,0,0,0
2383.TW,台光電,1580.0,10456647.0,165.15822535,-6.784660766961652,True,高價股,高價股,0,0,0
2385.TW,群光,116.0,9399034.0,10.93999318,0.4329004329004329,True,一般,一般,0,0,0
2387.TW,精元,38.8,353161.0,0.13671224,1.3054830287206267,True,一般,一般,0,0,0
2388.TW,威盛,51.5,2919098.0,1.50205525,0.9803921568627451,True,一般,一般,0,0,0
2390.TW,云辰,10.0,584353.0,0.057859,3.0927835051546393,True,一般,一般,0,0,0
2392.TW,正崴,37.15,1730460.0,0.63827606,1.9204389574759946,True,一般,一般,0,0,0
2393.TW,億光,57.2,8044614.0,4.64182217,0.7042253521126761,True,一般,一般,0,0,0
2395.TW,研華,288.5,1566949.0,4.54733663,0.1736111111111111,False,一般,一般,0,0,0
2397.TW,友通,62.1,310006.0,0.19179975,2.306425041186161,True,一般,一般,0,0,0
2399.TW,映泰,25.85,3708310.0,0.9638833,1.1741682974559686,False,一般,一般,0,0,0
2401.TW,凌陽,21.35,7266610.0,1.53024347,4.400977995110024,True,一般,一般,0,0,0
2402.TW,毅嘉,58.6,6424313.0,3.80455914,-0.8460236886632826,False,一般,一般,0,0,0
2404.TW,漢唐,1000.0,4311227.0,43.3092752,-1.9607843137254901,False,高價股,高價股,0,0,0
2405.TW,輔信,18.15,2160342.0,0.39149061,1.966292134831461,True,一般,一般,0,0,0
2406.TW,國碩,24.65,15476140.0,3.86017277,2.9227557411273484,True,一般,一般,0,0,0
2408.TW,南亞科,241.0,166211293.0,399.45993492,5.470459518599562,True,一般,一般,0,0,0
2409.TW,友達,16.7,852102789.0,140.33733355,9.868421052631579,True,一般,一般,0,0,0
2412.TW,中華電,133.0,12265952.0,16.31601889,0.37735849056603776,True,一般,一般,0,0,0
2413.TW,環科,42.95,2548575.0,1.09012867,-2.1640091116173115,True,一般,一般,0,0,0
2414.TW,精技,40.6,107908.0,0.0437408,0.12330456226880394,True,一般,一般,0,0,0
2415.TW,錩新,26.2,90021.0,0.02371857,0.38314176245210735,False,一般,一般,0,0,0
2417.TW,圓剛,40.0,1884347.0,0.76382271,-2.3199023199023197,False,一般,一般,0,0,0
2419.TW,仲琦,25.2,2344241.0,0.58974514,0.3984063745019921,False,一般,一般,0,0,0
2420.TW,新巨,50.8,218187.0,0.111144,0.594059405940594,False,一般,一般,0,0,0
2421.TW,建準,156.5,3229228.0,5.08735197,0.0,True,一般,一般,0,0,0
2423.TW,固緯,55.5,86474.0,0.04735457,1.2773722627737227,False,一般,一般,0,0,0
2424.TW,隴華,34.25,26665.0,0.00909994,0.5873715124816447,False,一般,一般,0,0,0
2425.TW,承啟,30.35,193757.0,0.05871264,0.16501650165016502,False,一般,一般,0,0,0
2426.TW,鼎元,17.35,846225.0,0.14775341,0.0,True,一般,一般,0,0,0
2427.TW,三商電,26.4,783791.0,0.20570099,1.1494252873563218,True,一般,一般,0,0,0
2428.TW,興勤,177.0,468547.0,0.83586443,-0.8403361344537815,False,一般,一般,0,0,0
2429.TW,銘旺科,75.1,708776.0,0.53364425,-2.3407022106631996,True,一般,一般,0,0,0
2430.TW,燦坤,22.6,106417.0,0.02403178,-0.44052863436123346,True,一般,一般,0,0,0
2431.TW,聯昌,11.9,768424.0,0.09136585,3.4782608695652173,True,一般,一般,0,0,0
2432.TW,倚天酷碁-創,25.1,90000.0,0.0225815,-1.1811023622047243,True,一般,一般,0,0,0
2433.TW,互盛電,47.15,43097.0,0.02029443,-0.21164021164021166,True,一般,一般,0,0,0
2434.TW,統懋,31.0,42936.0,0.01329688,0.3236245954692557,False,一般,一般,0,0,0
2436.TW,偉詮電,49.8,4236881.0,2.10711139,3.1055900621118013,True,一般,一般,0,0,0
2438.TW,翔耀,21.65,52616.0,0.01152416,1.4051522248243562,False,一般,一般,0,0,0
2439.TW,美律,96.2,1042907.0,1.00019708,-0.10384215991692629,False,一般,一般,0,0,0
2440.TW,太空梭,14.45,414633.0,0.05931277,0.6968641114982579,True,一般,一般,0,0,0
2441.TW,超豐,88.5,8668711.0,7.70538535,-1.3377926421404682,False,一般,一般,0,0,0
2442.TW,新美齊,23.35,1296029.0,0.30438108,-2.7083333333333335,False,一般,一般,0,0,0
2444.TW,兆勁,11.2,356710.0,0.03988416,-0.4444444444444444,True,一般,一般,0,0,0
2449.TW,京元電子,266.5,25557113.0,69.20556463,-0.18726591760299627,False,一般,一般,0,0,0
2450.TW,神腦,28.6,151180.0,0.04326279,0.17513134851138354,False,一般,一般,0,0,0
2451.TW,創見,238.0,7169902.0,16.98969176,9.930715935334874,False,一般,一般,0,0,0
2453.TW,凌群,52.9,273512.0,0.14420688,0.379506641366224,True,一般,一般,0,0,0
2454.TW,聯發科,1490.0,7517221.0,112.19211765,0.33670033670033667,False,高價股,高價股,0,0,0
2455.TW,全新,154.0,11797245.0,18.39065952,4.054054054054054,True,一般,一般,0,0,0
2457.TW,飛宏,29.0,4664616.0,1.33534185,3.571428571428571,True,一般,一般,0,0,0
2458.TW,義隆,117.5,1744703.0,2.05782082,0.8583690987124464,True,一般,一般,0,0,0
2459.TW,敦吉,66.1,35567.0,0.02358205,-0.15105740181268887,False,一般,一般,0,0,0
2460.TW,建通,23.25,1240162.0,0.28942062,-3.3264033264033266,False,一般,一般,0,0,0
2461.TW,光群雷,16.75,914241.0,0.15439539,-1.4705882352941175,False,一般,一般,0,0,0
2462.TW,良得電,24.2,821834.0,0.19786965,0.41493775933609967,False,一般,一般,0,0,0
2464.TW,盟立,69.0,8992310.0,6.15714173,-1.4285714285714286,False,一般,一般,0,0,0
2465.TW,麗臺,59.5,199990.0,0.11837752,-0.16778523489932887,False,一般,一般,0,0,0
2466.TW,冠西電,67.0,1510197.0,1.01588827,-0.7407407407407408,False,一般,一般,0,0,0
2467.TW,志聖,263.0,2361756.0,6.28709461,-1.4981273408239701,False,一般,一般,0,0,0
2468.TW,華經,40.75,336067.0,0.13645324,0.3694581280788177,True,一般,一般,0,0,0
2471.TW,資通,49.5,132402.0,0.06559922,-0.7021063189568706,False,一般,一般,0,0,0
2472.TW,立隆電,110.5,4154353.0,4.62791479,-1.7777777777777777,False,一般,一般,0,0,0
2474.TW,可成,207.5,4947280.0,10.20417605,0.9732360097323601,True,一般,一般,0,0,0
2476.TW,鉅祥,90.2,1617533.0,1.46438373,1.007838745800672,True,一般,一般,0,0,0
2477.TW,美隆電,25.5,2091970.0,0.53310733,0.7905138339920948,True,一般,一般,0,0,0
2478.TW,大毅,63.0,3614034.0,2.29905658,2.6058631921824107,True,一般,一般,0,0,0
2480.TW,敦陽科,149.0,139215.0,0.2084311,-0.6666666666666667,False,一般,一般,0,0,0
